IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,21114,10.215.173.2,53,10181,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,117,1,1,2025-09-17T22:01:00.599-05:00,2025-09-17T22:01:00.607-05:00
6,10.215.173.1,41420,74.125.136.188,5228,10181,Google Play services,com.google.android.gms,TCP,Error,mtalk.google.com,60,40,1,1,2025-09-17T22:01:00.613-05:00,2025-09-17T22:01:00.614-05:00
17,10.215.173.1,53571,10.215.173.2,53,10181,Google Play services,com.google.android.gms,DNS,Closed,locationhistory-pa.googleapis.com,79,239,1,1,2025-09-17T22:01:00.666-05:00,2025-09-17T22:01:00.721-05:00
6,10.215.173.1,42038,74.125.136.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:00.733-05:00,2025-09-17T22:01:00.953-05:00
6,10.215.173.1,41428,74.125.136.188,5228,10181,Google Play services,com.google.android.gms,TLS,Error,mtalk.google.com,822,4147,6,5,2025-09-17T22:01:00.884-05:00,2025-09-17T22:01:01.034-05:00
6,10.215.173.1,35728,172.253.124.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:00.960-05:00,2025-09-17T22:01:01.131-05:00
6,10.215.173.1,48064,142.250.105.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:01.144-05:00,2025-09-17T22:01:01.430-05:00
6,10.215.173.1,48784,172.217.215.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:01.437-05:00,2025-09-17T22:01:01.620-05:00
6,10.215.173.1,45984,142.250.9.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:01.627-05:00,2025-09-17T22:01:01.784-05:00
6,10.215.173.1,52756,64.233.176.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:01.791-05:00,2025-09-17T22:01:01.960-05:00
6,10.215.173.1,36150,64.233.177.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:01.967-05:00,2025-09-17T22:01:02.145-05:00
6,10.215.173.1,40902,64.233.185.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:02.163-05:00,2025-09-17T22:01:02.360-05:00
6,10.215.173.1,53510,74.125.138.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:02.366-05:00,2025-09-17T22:01:02.542-05:00
6,10.215.173.1,33610,108.177.122.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:02.551-05:00,2025-09-17T22:01:02.723-05:00
6,10.215.173.1,42052,74.125.136.95,443,10181,Google Play services,com.google.android.gms,HTTPS,Error,locationhistory-pa.googleapis.com,807,2021,6,5,2025-09-17T22:01:02.742-05:00,2025-09-17T22:01:02.934-05:00
17,10.215.173.1,14466,10.215.173.2,53,10323,ChatGPT,com.openai.chatgpt,DNS,Closed,o33249.ingest.sentry.io,69,85,1,1,2025-09-17T22:01:44.957-05:00,2025-09-17T22:01:45.016-05:00
6,10.215.173.1,52622,34.120.195.249,443,10323,ChatGPT,com.openai.chatgpt,HTTPS,Closed,o33249.ingest.sentry.io,1987,5069,9,10,2025-09-17T22:01:45.020-05:00,2025-09-17T22:01:45.172-05:00
17,10.215.173.1,52047,10.215.173.2,53,10323,ChatGPT,com.openai.chatgpt,DNS,Closed,android.chat.openai.com,69,157,1,1,2025-09-17T22:01:45.074-05:00,2025-09-17T22:01:45.128-05:00
17,10.215.173.1,18792,10.215.173.2,53,10323,ChatGPT,com.openai.chatgpt,DNS,Closed,0.datadog.pool.ntp.org,68,132,1,1,2025-09-17T22:01:45.090-05:00,2025-09-17T22:01:45.158-05:00
17,10.215.173.1,31242,10.215.173.2,53,10323,ChatGPT,com.openai.chatgpt,DNS,Closed,browser-intake-datadoghq.com,74,90,1,1,2025-09-17T22:01:45.102-05:00,2025-09-17T22:01:45.109-05:00
6,10.215.173.1,56492,172.64.155.214,443,10323,ChatGPT,com.openai.chatgpt,HTTPS,Closed,android.chat.openai.com,1184,4841,8,8,2025-09-17T22:01:45.131-05:00,2025-09-17T22:01:54.710-05:00
